"country","year","cowcode","western","lbritcoli","lnewci","lethnici","lmoslemi","lproti","lreligioni","oil","lpolity2","llngdppc","lgrowth","lworld_polity","lage","polity2_norm","lpolity2_norm","dec90","dec2000","pr","federalism","lb_dum","cses_dum","ab_dum","lgvf","lgvp","lpvf","lpvp","war","v2peapssoc","v2x_polyarchy","reversed_v2peapssoc","bgi","lagged_v2x_polyarchy"
"Slovenia",2004,349,0,0,1,12.1999969482422,1,1.5,15.3000030517578,0,10,10.1123056411743,2.78009390830994,3.30379748344421,12,1,1,0,1,1,0,0,1,0,0.0127339996397495,0.0246482007205486,0.0197126008570194,0.0155052999034524,0,2.857,0.828,-2.41,0.0922743458739742,0.847
"Slovenia",2005,349,0,0,1,12.1999969482422,1,1.5,15.3000030517578,0,10,10.1542625427246,4.28496313095093,3.43396234512329,13,1,1,0,1,1,0,0,1,0,0.0127339996397495,0.0246482007205486,0.0197126008570194,0.0155052999034524,0,2.454,0.828,-2.007,0.15466790524849,0.828
"Slovenia",2006,349,0,0,1,12.1999969482422,1,1.5,15.3000030517578,0,10,10.191780090332,3.82301712036133,3.67499995231628,14,1,1,0,1,1,0,0,1,0,0.0127339996397495,0.0246482007205486,0.0197126008570194,0.0155052999034524,0,2.454,0.83,-2.007,0.15466790524849,0.828
"Slovenia",2007,349,0,0,1,12.1999969482422,1,1.5,15.3000030517578,0,10,10.2436075210571,5.31937980651855,3.75925922393799,15,1,1,0,1,1,0,0,1,0,0.0127339996397495,0.0246482007205486,0.0197126008570194,0.0155052999034524,0,2.454,0.83,-2.007,0.15466790524849,0.83
"Slovenia",2008,349,0,0,1,12.1999969482422,1,1.5,15.3000030517578,0,10,10.3051280975342,6.34528541564941,3.72670817375183,16,1,1,0,1,1,0,0,1,0,0.0127339996397495,0.0246482007205486,0.0197126008570194,0.0155052999034524,0,2.454,0.832,-2.007,0.15466790524849,0.83
"Slovenia",2009,349,0,0,1,12.1999969482422,1,1.5,15.3000030517578,0,10,10.3360157012939,3.13690257072449,3.83950614929199,17,1,1,0,1,1,0,0,1,0,0.0127339996397495,0.0246482007205486,0.0197126008570194,0.0155052999034524,0,2.319,0.878,-1.872,0.175568973525314,0.832
"Slovenia",2010,349,0,0,1,12.1999969482422,1,1.5,15.3000030517578,0,10,10.2457962036133,-8.62691974639893,3.82716059684753,18,1,1,0,0,1,0,0,1,0,0.0127339996397495,0.0246482007205486,0.0197126008570194,0.0155052999034524,0,2.319,0.872,-1.872,0.175568973525314,0.878
"Slovenia",2011,349,0,0,1,12.1999969482422,1,1.5,15.3000030517578,0,10,10.2537364959717,0.797237873077393,3.88343548774719,19,1,1,0,0,1,0,0,1,0,0.0127339996397495,0.0246482007205486,0.0197126008570194,0.0155052999034524,0,2.319,0.862,-1.872,0.175568973525314,0.872
"Slovenia",2012,349,0,0,1,12.1999969482422,1,1.5,15.3000030517578,0,10,10.258131980896,0.44049921631813,4.07975482940674,20,1,1,0,0,1,0,0,1,0,0.0127339996397495,0.0246482007205486,0.0197126008570194,0.0155052999034524,0,2.319,0.85,-1.872,0.175568973525314,0.862
"Slovenia",2013,349,0,0,1,12.1999969482422,1,1.5,15.3000030517578,0,10,10.2287693023682,-2.89357447624207,4.06748485565186,21,1,1,0,0,1,0,0,1,0,0.0127339996397495,0.0246482007205486,0.0197126008570194,0.0155052999034524,0,2.319,0.859,-1.872,0.175568973525314,0.85
"Slovenia",2014,349,0,0,1,12.1999969482422,1,1.5,15.3000030517578,0,10,10.2164831161499,-1.22107982635498,4.23926401138306,22,1,1,0,0,1,0,0,1,0,0.0127339996397495,0.0246482007205486,0.0197126008570194,0.0155052999034524,0,2.319,0.865,-1.872,0.175568973525314,0.859
"Slovenia",2015,349,0,0,1,12.1999969482422,1,1.5,15.3000030517578,0,10,10.2460899353027,3.00492095947266,4.17073154449463,23,1,1,0,0,1,0,0,1,0,0.0127339996397495,0.0246482007205486,0.0197126008570194,0.0155052999034524,0,2.319,0.877,-1.872,0.175568973525314,0.865
"South Africa",1997,560,0,0,0,28,1.39999997615814,78.0999984741211,41,0,9,9.20166778564453,2.00477170944214,2.35625004768372,4,0.949999988079071,0.949999988079071,1,0,1,0,0,0,0,0.278693407773972,0.207017794251442,0.268496513366699,0.379255086183548,0,-0.682,0.671,1.129,0.640191980182691,NA
"South Africa",1998,560,0,0,0,28,1.39999997615814,78.0999984741211,41,0,9,9.20445346832275,0.279010981321335,2.33750009536743,5,0.949999988079071,0.949999988079071,1,0,1,0,0,0,0,0.274959355592728,0.202499374747276,0.27212855219841,0.379832625389099,0,-0.682,0.67,1.129,0.640191980182691,0.671
"South Africa",1999,560,0,0,0,28,1.39999997615814,78.0999984741211,41,0,9,9.1859302520752,-1.8353134393692,2.49375009536743,6,0.949999988079071,0.949999988079071,1,0,1,0,0,0,0,0.271225333213806,0.197980955243111,0.275760591030121,0.38041016459465,0,-0.682,0.712,1.129,0.640191980182691,0.67
"South Africa",2000,560,0,0,0,28,1.39999997615814,78.0999984741211,41,0,9,9.18550586700439,-0.0424194261431694,2.71250009536743,7,0.949999988079071,0.949999988079071,0,1,1,0,0,0,0,0.267491281032562,0.193462535738945,0.279392629861832,0.380987733602524,0,-0.682,0.748,1.129,0.640191980182691,0.712
"South Africa",2001,560,0,0,0,28,1.39999997615814,78.0999984741211,41,0,9,9.20187664031982,1.65061473846436,2.95624995231628,8,0.949999988079071,0.949999988079071,0,1,1,0,0,0,0,0.263757258653641,0.188944116234779,0.283024668693542,0.381565272808075,0,-0.682,0.748,1.129,0.640191980182691,0.748
