"country","year.x","cowcode","western","lbritcoli","lnewci","lethnici","lmoslemi","lproti","lreligioni","oil","lpolity2","llngdppc","lgrowth","lworld_polity","lage","polity2_norm","lpolity2_norm","dec90","dec2000","pr","federalism","lb_dum","cses_dum","ab_dum","lgvf","lgvp","lpvf","lpvp","war","ccode","pg","ELF_fearon_std","betweenstd","cultfrac_std","GIstd","gini_net_std","geo_iso_std","lngdpstd","popstd","polity2std","afrobarom","wvs","cses","cses_wvs","ELF_ethnic","polity2","between_afrorev","pg_05pct","elf_05pct","between_05pct","lngdp_05pct","polity_05pct","pop_05pct","gini_05pct","iso_05pct","fearon5pct","year.y","pg6_year","pg10_year","ELF_year","between_year","polity2std_year","lngdpstd_year","popstd_year","gininetstd_year","isostd_year","afrobarom_year","wvs_year","cses_year","polity2_year","multipleyears","v2peapssoc","v2x_polyarchy","reversed_v2peapssoc","new_reversed","bgi"
"Bulgaria",2013,355,0,0,0,13,7.5,0.699999988079071,73,0,9,9.66951751708984,0.612025082111359,4.06748485565186,22,0.949999988079071,0.949999988079071,0,0,1,0,0,0,0,0.127708107233047,0.228151097893715,0.150092497467995,0.128570005297661,0,100,0.561910152435303,-0.822105884552002,0.444577902555466,-0.26362133026123,0.250056117773056,-0.966102600097656,0.355067372322083,0.098276786506176,-0.347594082355499,0.541442155838013,0,0,1,0,0.299485087394714,9,0.485366761684418,0.536510050296783,-0.720227003097534,0.350401192903519,0.0509944818913937,0.454487204551697,-0.360928565263748,-0.955761730670929,0.370599210262299,1,2001,0.295909374952316,0.554844319820404,-0.993573248386383,0.423220306634903,0.492892026901245,0.00860984157770872,-0.409238696098328,-1.04801440238953,0.417359262704849,0,0,1,9,0,1.122,0.662,-0.675,0.360891778913144,0.511326888956703
"Bulgaria",2014,355,0,0,0,13,7.5,0.699999988079071,73,0,9,9.68369770050049,1.42814743518829,4.23926401138306,23,0.949999988079071,0.949999988079071,0,0,1,0,0,0,0,0.127708107233047,0.228151097893715,0.150092497467995,0.128570005297661,0,100,0.561910152435303,-0.822105884552002,0.444577902555466,-0.26362133026123,0.250056117773056,-0.966102600097656,0.355067372322083,0.098276786506176,-0.347594082355499,0.541442155838013,0,0,1,0,0.299485087394714,9,0.485366761684418,0.536510050296783,-0.720227003097534,0.350401192903519,0.0509944818913937,0.454487204551697,-0.360928565263748,-0.955761730670929,0.370599210262299,1,2001,0.295909374952316,0.554844319820404,-0.993573248386383,0.423220306634903,0.492892026901245,0.00860984157770872,-0.409238696098328,-1.04801440238953,0.417359262704849,0,0,1,9,0,1.122,0.681,-0.675,0.360891778913144,0.511326888956703
"Bulgaria",2015,355,0,0,0,13,7.5,0.699999988079071,73,0,9,9.70258235931396,1.9064314365387,4.17073154449463,24,0.949999988079071,0.949999988079071,0,0,1,0,0,0,0,0.127708107233047,0.228151097893715,0.150092497467995,0.128570005297661,0,100,0.561910152435303,-0.822105884552002,0.444577902555466,-0.26362133026123,0.250056117773056,-0.966102600097656,0.355067372322083,0.098276786506176,-0.347594082355499,0.541442155838013,0,0,1,0,0.299485087394714,9,0.485366761684418,0.536510050296783,-0.720227003097534,0.350401192903519,0.0509944818913937,0.454487204551697,-0.360928565263748,-0.955761730670929,0.370599210262299,1,2001,0.295909374952316,0.554844319820404,-0.993573248386383,0.423220306634903,0.492892026901245,0.00860984157770872,-0.409238696098328,-1.04801440238953,0.417359262704849,0,0,1,9,0,1.122,0.674,-0.675,0.360891778913144,0.511326888956703
"Canada",1998,20,1,0,0,39,0,41.2000007629395,53,0,10,10.4170837402344,3.18336701393127,2.33750009536743,109,1,1,1,0,1,1,0,1,0,0.152376100420952,0.284322589635849,0.243242606520653,0.196496799588203,0,124,0.889192581176758,0.452804267406464,0.563508450984955,1.06108283996582,-0.0882551446557045,-0.762315571308136,-0.265506237745285,1.20661294460297,-0.202603206038475,1.08288431167603,0,0,0,1,0.59634006023407,10,0.608580946922302,0.817394137382507,0.516975522041321,0.462607473134995,1.14135837554932,1.01160049438477,-0.226680010557175,-0.738022327423096,-0.225903108716011,1,1997,1.29716742038727,1.10228288173676,0.361460834741592,-0.00893677398562431,1.03128182888031,1.05246651172638,-0.24200277030468,-0.938649535179138,-0.911489009857178,0,0,1,10,0,2.542,0.836,-2.095,0.141043505186561,0.550768560939719
"Canada",1999,20,1,0,0,39,0,41.2000007629395,53,0,10,10.4465103149414,2.98641729354858,2.49375009536743,110,1,1,1,0,1,1,0,0,0,0.155993595719337,0.287479758262634,0.240262597799301,0.203151702880859,0,124,0.889192581176758,0.452804267406464,0.563508450984955,1.06108283996582,-0.0882551446557045,-0.762315571308136,-0.265506237745285,1.20661294460297,-0.202603206038475,1.08288431167603,0,0,0,1,0.59634006023407,10,0.608580946922302,0.817394137382507,0.516975522041321,0.462607473134995,1.14135837554932,1.01160049438477,-0.226680010557175,-0.738022327423096,-0.225903108716011,1,1997,1.29716742038727,1.10228288173676,0.361460834741592,-0.00893677398562431,1.03128182888031,1.05246651172638,-0.24200277030468,-0.938649535179138,-0.911489009857178,0,0,1,10,0,2.542,0.836,-2.095,0.141043505186561,0.550768560939719
"Canada",2000,20,1,0,0,39,0,41.2000007629395,53,0,10,10.4885807037354,4.2967209815979,2.71250009536743,111,1,1,0,1,1,1,0,0,0,0.159611105918884,0.29063692688942,0.237282603979111,0.209806591272354,0,124,0.889192581176758,0.452804267406464,0.563508450984955,1.06108283996582,-0.0882551446557045,-0.762315571308136,-0.265506237745285,1.20661294460297,-0.202603206038475,1.08288431167603,0,0,0,1,0.59634006023407,10,0.608580946922302,0.817394137382507,0.516975522041321,0.462607473134995,1.14135837554932,1.01160049438477,-0.226680010557175,-0.738022327423096,-0.225903108716011,1,1997,1.29716742038727,1.10228288173676,0.361460834741592,-0.00893677398562431,1.03128182888031,1.05246651172638,-0.24200277030468,-0.938649535179138,-0.911489009857178,0,0,1,10,0,2.542,0.836,-2.095,0.141043505186561,0.550768560939719
"Canada",2001,20,1,0,0,39,0,41.2000007629395,53,0,10,10.5302791595459,4.25801467895508,2.95624995231628,112,1,1,0,1,1,1,0,0,0,0.16322860121727,0.293794095516205,0.234302595257759,0.21646149456501,0,124,0.889192581176758,0.452804267406464,0.563508450984955,1.06108283996582,-0.0882551446557045,-0.762315571308136,-0.265506237745285,1.20661294460297,-0.202603206038475,1.08288431167603,0,0,0,1,0.59634006023407,10,0.608580946922302,0.817394137382507,0.516975522041321,0.462607473134995,1.14135837554932,1.01160049438477,-0.226680010557175,-0.738022327423096,-0.225903108716011,1,1997,1.29716742038727,1.10228288173676,0.361460834741592,-0.00893677398562431,1.03128182888031,1.05246651172638,-0.24200277030468,-0.938649535179138,-0.911489009857178,0,0,1,10,0,2.542,0.832,-2.095,0.141043505186561,0.550768560939719
"Canada",2002,20,1,0,0,39,0,41.2000007629395,53,0,10,10.5377368927002,0.748588263988495,3.16352200508118,113,1,1,0,1,1,1,0,1,0,0.173175379633904,0.311655849218369,0.231975466012955,0.211498841643333,0,124,0.889192581176758,0.452804267406464,0.563508450984955,1.06108283996582,-0.0882551446557045,-0.762315571308136,-0.265506237745285,1.20661294460297,-0.202603206038475,1.08288431167603,0,0,0,1,0.59634006023407,10,0.608580946922302,0.817394137382507,0.516975522041321,0.462607473134995,1.14135837554932,1.01160049438477,-0.226680010557175,-0.738022327423096,-0.225903108716011,1,1997,1.29716742038727,1.10228288173676,0.361460834741592,-0.00893677398562431,1.03128182888031,1.05246651172638,-0.24200277030468,-0.938649535179138,-0.911489009857178,0,0,1,10,0,2.542,0.824,-2.095,0.141043505186561,0.550768560939719
"Canada",2003,20,1,0,0,39,0,41.2000007629395,53,0,10,10.558422088623,2.09001064300537,3.27500009536743,114,1,1,0,1,1,1,0,1,0,0.183122158050537,0.329517602920532,0.229648351669312,0.206536203622818,0,124,0.889192581176758,0.452804267406464,0.563508450984955,1.06108283996582,-0.0882551446557045,-0.762315571308136,-0.265506237745285,1.20661294460297,-0.202603206038475,1.08288431167603,0,0,0,1,0.59634006023407,10,0.608580946922302,0.817394137382507,0.516975522041321,0.462607473134995,1.14135837554932,1.01160049438477,-0.226680010557175,-0.738022327423096,-0.225903108716011,1,1997,1.29716742038727,1.10228288173676,0.361460834741592,-0.00893677398562431,1.03128182888031,1.05246651172638,-0.24200277030468,-0.938649535179138,-0.911489009857178,0,0,1,10,0,2.542,0.824,-2.095,0.141043505186561,0.550768560939719
"Canada",2004,20,1,0,0,39,0,41.2000007629395,53,0,10,10.5663213729858,0.793124556541443,3.30379748344421,115,1,1,0,1,1,1,0,1,0,0.19306892156601,0.347379356622696,0.227321222424507,0.201573550701141,0,124,0.889192581176758,0.452804267406464,0.563508450984955,1.06108283996582,-0.0882551446557045,-0.762315571308136,-0.265506237745285,1.20661294460297,-0.202603206038475,1.08288431167603,0,0,0,1,0.59634006023407,10,0.608580946922302,0.817394137382507,0.516975522041321,0.462607473134995,1.14135837554932,1.01160049438477,-0.226680010557175,-0.738022327423096,-0.225903108716011,1,1997,1.29716742038727,1.10228288173676,0.361460834741592,-0.00893677398562431,1.03128182888031,1.05246651172638,-0.24200277030468,-0.938649535179138,-0.911489009857178,0,0,1,10,0,2.542,0.824,-2.095,0.141043505186561,0.550768560939719
